(0, 0, None, None, '2017-09-24T14:46:39.289492')
(0, 0, None, None, '2017-09-24T14:50:32.139593')
(0, 0, None, None, '2017-09-24T14:54:24.831537')
(0, 0, None, None, '2017-09-24T14:58:17.542844')
(0, 0, None, None, '2017-09-24T15:01:39.080870')
(8331, 0, None, None, '2017-09-24T15:04:09.889558')
(8478, 0, None, None, '2017-09-24T15:08:02.755022')
(7828, 0, None, None, '2017-09-24T15:10:08.955838')
(17794, 0, None, None, '2017-09-24T15:14:01.872910')
(2786, 0, None, None, '2017-09-24T15:17:54.680207')
(4536, 0, None, None, '2017-09-24T15:21:47.432458')
(4262, 0, None, None, '2017-09-24T15:25:40.184449')
(4385, 0, None, None, '2017-09-24T15:29:32.957075')
(4263, 0, None, None, '2017-09-24T15:33:25.743557')
(8418, 0, None, None, '2017-09-24T15:37:18.511838')
(8736, 0, None, None, '2017-09-24T15:41:11.245862')
(8687, 0, None, None, '2017-09-24T15:45:04.006052')
(8880, 0, None, None, '2017-09-24T15:48:56.778250')
